iter	Passed	Remaining
0	119	119105
1	169	84470
2	214	71262
3	256	63960
4	302	60160
5	348	57676
6	408	57915
7	466	57904
8	513	56496
9	553	54760
10	597	53743
11	640	52740
12	686	52092
13	743	52372
14	807	53037
15	847	52132
16	918	53118
17	984	53686
18	1048	54111
19	1114	54620
20	1179	54997
21	1243	55265
22	1312	55773
23	1463	59508
24	1542	60140
25	1603	60086
26	1751	63105
27	1915	66499
28	2078	69590
29	2249	72738
30	2461	76950
31	2655	80337
32	2716	79593
33	2763	78514
34	2809	77469
35	2849	76310
36	2892	75291
37	2934	74297
38	2975	73310
39	3014	72353
40	3051	71376
41	3095	70615
42	3137	69828
43	3182	69138
44	3222	68384
45	3263	67689
46	3302	66972
47	3347	66388
48	3390	65807
49	3432	65211
50	3472	64616
51	3512	64041
52	3553	63486
53	3597	63020
54	3642	62582
55	3681	62063
56	3726	61653
57	3766	61173
58	3809	60761
59	3853	60368
60	3896	59978
61	3944	59682
62	3984	59268
63	4026	58885
64	4062	58439
65	4105	58098
66	4143	57700
67	4176	57238
68	4216	56894
69	4253	56508
70	4286	56081
71	4320	55686
72	4356	55322
73	4390	54936
74	4425	54582
75	4458	54210
76	4490	53831
77	4523	53467
78	4556	53123
79	4589	52781
80	4624	52464
81	4661	52183
82	4694	51870
83	4727	51557
84	4761	51256
85	4792	50937
86	4826	50652
87	4860	50374
88	4893	50088
89	4925	49800
90	4959	49542
91	4994	49290
92	5026	49020
93	5059	48765
94	5092	48517
95	5126	48272
96	5158	48018
97	5192	47792
98	5224	47551
99	5257	47321
100	5293	47115
101	5328	46913
102	5363	46708
103	5399	46517
104	5434	46319
105	5468	46125
106	5504	45938
107	5555	45880
108	5590	45701
109	5629	45548
110	5664	45369
111	5699	45189
112	5732	45001
113	5768	44829
114	5803	44662
115	5841	44515
116	5876	44346
117	5912	44193
118	5944	44005
119	5979	43847
120	6011	43673
121	6043	43491
122	6078	43342
123	6113	43189
124	6149	43046
125	6180	42872
126	6214	42715
127	6247	42560
128	6282	42422
129	6316	42274
130	6351	42132
131	6382	41969
132	6415	41821
133	6451	41697
134	6485	41558
135	6521	41428
136	6604	41605
137	6695	41820
138	6740	41749
139	6778	41642
140	6811	41494
141	6847	41374
142	6884	41256
143	6916	41116
144	6952	40992
145	6985	40861
146	7020	40738
147	7050	40585
148	7085	40470
149	7117	40334
150	7151	40209
151	7188	40102
152	7221	39980
153	7257	39870
154	7288	39736
155	7323	39623
156	7359	39516
157	7390	39384
158	7422	39261
159	7458	39155
160	7491	39040
161	7527	38936
162	7562	38833
163	7598	38736
164	7638	38655
165	7677	38573
166	7717	38492
167	7756	38410
168	7792	38316
169	7832	38240
170	7873	38171
171	7908	38072
172	7943	37972
173	7980	37884
174	8013	37778
175	8046	37672
176	8084	37590
177	8120	37499
178	8157	37414
179	8197	37343
180	8239	37281
181	8279	37210
182	8313	37116
183	8352	37039
184	8391	36967
185	8434	36911
186	8476	36851
187	8523	36815
188	8566	36757
189	8611	36713
190	8654	36656
191	8695	36594
192	8734	36522
193	8779	36475
194	8826	36439
195	8876	36412
196	8920	36362
197	8959	36289
198	9003	36238
199	9050	36200
200	9099	36171
201	9140	36111
202	9189	36079
203	9237	36045
204	9275	35969
205	9314	35902
206	9356	35843
207	9409	35829
208	9456	35788
209	9505	35758
210	9673	36172
211	9801	36430
212	9889	36540
213	9957	36572
214	10023	36597
215	10074	36567
216	10120	36516
217	10172	36489
218	10218	36441
219	10258	36369
220	10304	36321
221	10361	36313
222	10448	36405
223	10504	36389
224	10551	36344
225	10590	36269
226	10665	36318
227	10800	36568
228	10855	36547
229	10894	36472
230	10931	36389
231	10966	36303
232	10999	36207
233	11034	36122
234	11067	36027
235	11099	35931
236	11132	35839
237	11166	35751
238	11198	35658
239	11233	35572
240	11263	35473
241	11297	35387
242	11330	35297
243	11366	35217
244	11397	35123
245	11431	35039
246	11464	34950
247	11498	34865
248	11532	34784
249	11564	34694
250	11600	34615
251	11634	34533
252	11671	34461
253	11707	34386
254	11741	34304
255	11773	34216
256	11805	34131
257	11839	34051
258	11875	33975
259	11914	33909
260	11957	33857
261	12011	33834
262	12066	33813
263	12118	33784
264	12183	33791
265	12228	33742
266	12263	33666
267	12296	33585
268	12330	33507
269	12365	33432
270	12400	33357
271	12436	33285
272	12472	33214
273	12503	33129
274	12537	33054
275	12574	32986
276	12612	32919
277	12652	32861
278	12688	32791
279	12722	32715
280	12759	32648
281	12790	32566
282	12825	32493
283	12857	32415
284	12888	32335
285	12924	32267
286	12956	32188
287	12992	32119
288	13023	32040
289	13055	31963
290	13087	31887
291	13120	31812
292	13154	31740
293	13187	31668
294	13222	31599
295	13258	31533
296	13290	31459
297	13322	31383
298	13353	31307
299	13389	31242
300	13423	31172
301	13455	31099
302	13488	31027
303	13521	30957
304	13552	30881
305	13586	30813
306	13618	30740
307	13667	30706
308	13720	30682
309	13771	30652
310	13820	30617
311	13863	30571
312	13900	30510
313	13935	30445
314	13969	30377
315	14001	30306
316	14034	30238
317	14073	30182
318	14113	30130
319	14151	30072
320	14202	30041
321	14305	30122
322	14373	30127
323	14437	30121
324	14618	30361
325	14721	30437
326	14803	30467
327	14857	30438
328	14909	30407
329	14948	30350
330	14988	30294
331	15026	30234
332	15059	30164
333	15096	30101
334	15128	30032
335	15160	29960
336	15193	29890
337	15226	29821
338	15258	29751
339	15288	29677
340	15326	29618
341	15360	29553
342	15392	29483
343	15428	29421
344	15461	29354
345	15492	29283
346	15526	29218
347	15560	29153
348	15593	29087
349	15635	29038
350	15675	28984
351	15717	28934
352	15757	28882
353	15803	28838
354	15852	28802
355	15920	28800
356	15967	28759
357	16009	28709
358	16050	28658
359	16098	28620
360	16142	28573
361	16177	28511
362	16214	28453
363	16248	28389
364	16282	28327
365	16316	28263
366	16356	28211
367	16391	28150
368	16432	28099
369	16472	28048
370	16509	27990
371	16547	27934
372	16577	27866
373	16607	27797
374	16644	27740
375	16678	27679
376	16713	27619
377	16747	27558
378	16782	27498
379	16815	27435
380	16851	27378
381	16887	27320
382	16921	27260
383	16954	27198
384	16983	27129
385	17017	27069
386	17054	27014
387	17087	26952
388	17119	26889
389	17160	26840
390	17202	26793
391	17239	26738
392	17278	26687
393	17317	26636
394	17357	26585
395	17394	26530
396	17434	26481
397	17472	26427
398	17508	26372
399	17543	26315
400	17580	26261
401	17612	26199
402	17649	26145
403	17686	26091
404	17724	26039
405	17759	25983
406	17804	25941
407	17861	25916
408	17915	25887
409	17971	25861
410	18019	25823
411	18056	25769
412	18093	25715
413	18126	25657
414	18168	25610
415	18204	25556
416	18240	25501
417	18283	25456
418	18319	25401
419	18359	25352
420	18406	25315
421	18448	25268
422	18486	25217
423	18522	25162
424	18558	25108
425	18594	25055
426	18630	25000
427	18666	24946
428	18702	24893
429	18745	24848
430	18788	24804
431	18853	24788
432	18910	24762
433	18950	24713
434	18988	24663
435	19030	24617
436	19065	24562
437	19103	24512
438	19142	24462
439	19175	24405
440	19208	24347
441	19258	24313
442	19314	24284
443	19371	24257
444	19424	24226
445	19464	24177
446	19503	24128
447	19559	24100
448	19618	24074
449	19671	24042
450	19727	24013
451	19790	23993
452	19851	23970
453	19891	23921
454	19924	23865
455	19955	23806
456	19990	23751
457	20023	23695
458	20061	23645
459	20110	23608
460	20160	23571
461	20211	23536
462	20246	23481
463	20277	23424
464	20310	23368
465	20349	23319
466	20397	23280
467	20448	23244
468	20503	23214
469	20537	23159
470	20568	23100
471	20604	23049
472	20646	23003
473	20698	22968
474	20748	22932
475	20790	22887
476	20822	22831
477	20858	22778
478	20894	22726
479	20925	22669
480	20961	22617
481	20993	22561
482	21025	22505
483	21060	22453
484	21095	22400
485	21129	22346
486	21163	22292
487	21196	22238
488	21229	22184
489	21263	22131
490	21295	22076
491	21328	22021
492	21361	21968
493	21394	21913
494	21427	21860
495	21462	21808
496	21498	21757
497	21528	21701
498	21561	21647
499	21592	21592
500	21626	21539
501	21664	21491
502	21698	21439
503	21732	21387
504	21768	21337
505	21801	21284
506	21837	21234
507	21882	21193
508	21920	21145
509	21958	21097
510	21999	21052
511	22033	21000
512	22068	20949
513	22102	20898
514	22133	20844
515	22167	20793
516	22200	20740
517	22233	20688
518	22269	20639
519	22300	20585
520	22337	20536
521	22372	20486
522	22420	20448
523	22469	20410
524	22513	20369
525	22556	20326
526	22610	20293
527	22654	20251
528	22702	20213
529	22750	20175
530	22799	20137
531	22849	20100
532	22932	20092
533	22979	20052
534	23023	20011
535	23069	19971
536	23118	19932
537	23167	19894
538	23214	19855
539	23261	19815
540	23307	19775
541	23347	19729
542	23382	19678
543	23415	19628
544	23450	19577
545	23488	19531
546	23520	19478
547	23553	19427
548	23585	19375
549	23619	19324
550	23653	19274
551	23688	19225
552	23719	19172
553	23756	19125
554	23794	19078
555	23829	19029
556	23863	18979
557	23899	18930
558	23932	18880
559	23966	18830
560	24000	18781
561	24033	18730
562	24066	18680
563	24101	18631
564	24132	18579
565	24166	18530
566	24200	18481
567	24231	18429
568	24262	18377
569	24293	18326
570	24326	18277
571	24358	18226
572	24390	18175
573	24423	18125
574	24455	18075
575	24489	18026
576	24530	17983
577	24582	17947
578	24641	17916
579	24682	17873
580	24721	17828
581	24756	17780
582	24789	17731
583	24820	17680
584	24851	17629
585	24883	17580
586	24919	17532
587	24953	17484
588	24990	17437
589	25023	17389
590	25053	17338
591	25086	17289
592	25117	17239
593	25150	17190
594	25192	17148
595	25238	17108
596	25305	17082
597	25366	17052
598	25416	17015
599	25448	16965
600	25483	16918
601	25525	16875
602	25577	16839
603	25643	16812
604	25710	16786
605	25817	16785
606	25887	16761
607	25938	16723
608	25989	16686
609	26048	16654
610	26092	16611
611	26154	16581
612	26214	16549
613	26264	16511
614	26302	16466
615	26347	16424
616	26411	16395
617	26474	16364
618	26545	16339
619	26621	16316
620	26738	16318
621	26894	16344
622	26943	16304
623	26978	16256
624	27012	16207
625	27050	16160
626	27084	16112
627	27117	16063
628	27150	16013
629	27183	15965
630	27232	15925
631	27281	15885
632	27337	15849
633	27372	15802
634	27409	15755
635	27445	15707
636	27499	15670
637	27551	15632
638	27600	15592
639	27635	15545
640	27668	15496
641	27699	15446
642	27737	15400
643	27768	15350
644	27802	15302
645	27837	15254
646	27875	15208
647	27908	15160
648	27945	15113
649	27976	15064
650	28008	15015
651	28040	14966
652	28073	14918
653	28105	14869
654	28139	14821
655	28173	14773
656	28206	14726
657	28239	14677
658	28270	14628
659	28302	14580
660	28334	14531
661	28364	14482
662	28397	14434
663	28433	14387
664	28465	14339
665	28495	14290
666	28529	14243
667	28562	14195
668	28605	14152
669	28657	14115
670	28702	14073
671	28755	14035
672	28788	13987
673	28821	13940
674	28860	13895
675	28910	13856
676	28965	13819
677	29017	13781
678	29067	13741
679	29118	13703
680	29167	13663
681	29214	13622
682	29269	13584
683	29317	13544
684	29374	13507
685	29424	13468
686	29475	13429
687	29524	13388
688	29575	13349
689	29626	13310
690	29680	13272
691	29717	13226
692	29752	13180
693	29784	13132
694	29820	13086
695	29867	13045
696	29916	13005
697	29971	12967
698	30011	12923
699	30044	12876
700	30077	12829
701	30121	12786
702	30170	12746
703	30222	12707
704	30271	12666
705	30327	12629
706	30367	12584
707	30411	12542
708	30478	12509
709	30523	12467
710	30566	12424
711	30608	12381
712	30654	12339
713	30696	12295
714	30735	12251
715	30784	12210
716	30829	12168
717	30877	12127
718	30924	12085
719	30966	12042
720	31013	12001
721	31064	11961
722	31100	11915
723	31132	11868
724	31177	11826
725	31216	11781
726	31259	11738
727	31297	11693
728	31347	11653
729	31402	11614
730	31445	11571
731	31491	11529
732	31531	11485
733	31581	11445
734	31619	11400
735	31659	11356
736	31693	11310
737	31732	11265
738	31766	11219
739	31799	11172
740	31834	11127
741	31869	11081
742	31899	11033
743	31931	10987
744	31966	10941
745	31998	10894
746	32028	10847
747	32070	10804
748	32106	10759
749	32141	10713
750	32174	10667
751	32206	10621
752	32239	10575
753	32273	10529
754	32305	10483
755	32339	10437
756	32372	10391
757	32404	10345
758	32437	10299
759	32479	10256
760	32518	10212
761	32560	10169
762	32596	10125
763	32636	10081
764	32675	10037
765	32713	9993
766	32752	9949
767	32791	9905
768	32827	9860
769	32862	9816
770	32894	9770
771	32927	9724
772	32961	9679
773	32993	9633
774	33026	9588
775	33059	9543
776	33098	9499
777	33135	9455
778	33174	9411
779	33218	9369
