iter	Passed	Remaining
0	35	70062
1	64	64575
2	95	63384
3	127	63575
4	169	67572
5	217	72346
6	308	87932
7	379	94406
8	419	92718
9	451	89907
10	484	87669
11	518	85828
12	548	83863
13	580	82392
14	612	81044
15	645	80103
16	677	79024
17	710	78232
18	745	77688
19	776	76905
20	810	76379
21	845	75996
22	878	75488
23	910	74946
24	952	75239
25	1000	75962
26	1060	77474
27	1097	77316
28	1133	77067
29	1166	76577
30	1196	75999
31	1227	75500
32	1257	74983
33	1289	74575
34	1320	74119
35	1351	73708
36	1379	73208
37	1409	72775
38	1441	72500
39	1474	72235
40	1507	72011
41	1537	71663
42	1568	71372
43	1599	71082
44	1630	70829
45	1664	70694
46	1694	70395
47	1723	70075
48	1769	70450
49	1817	70877
50	1865	71309
51	1914	71707
52	1960	72010
53	2004	72237
54	2089	73903
55	2149	74622
56	2193	74774
57	2241	75060
58	2274	74840
59	2306	74576
60	2338	74337
61	2369	74056
62	2402	73854
63	2432	73587
64	2473	73632
65	2529	74111
66	2577	74367
67	2614	74289
68	2666	74631
69	2697	74385
70	2728	74120
71	2759	73887
72	2789	73632
73	2821	73434
74	2852	73201
75	2880	72927
76	2909	72666
77	2939	72420
78	2970	72232
79	2999	71994
80	3032	71838
81	3062	71644
82	3094	71475
83	3125	71280
84	3156	71125
85	3187	70943
86	3216	70725
87	3245	70522
88	3275	70328
89	3306	70177
90	3338	70025
91	3368	69860
92	3419	70109
93	3468	70329
94	3523	70652
95	3572	70846
96	3633	71284
97	3676	71356
98	3731	71656
99	3793	72071
100	3882	72998
101	3978	74029
102	4025	74132
103	4069	74181
104	4127	74490
105	4197	75002
106	4252	75238
107	4301	75359
108	4366	75754
109	4412	75816
110	4458	75873
111	4518	76167
112	4569	76313
113	4620	76441
114	4753	77914
115	4969	80706
116	5037	81070
117	5110	81503
118	5148	81381
119	5180	81163
120	5213	80964
121	5243	80711
122	5272	80452
123	5314	80404
124	5367	80514
125	5418	80583
126	5466	80625
127	5517	80690
128	5586	81021
129	5656	81361
130	5715	81548
131	5760	81523
132	5793	81332
133	5826	81138
134	5855	80888
135	5889	80720
136	5940	80784
137	6004	81022
138	6035	80805
139	6067	80610
140	6097	80387
141	6126	80161
142	6156	79953
143	6188	79758
144	6219	79560
145	6251	79382
146	6281	79178
147	6311	78975
148	6342	78795
149	6370	78573
150	6405	78433
151	6437	78265
152	6465	78048
153	6496	77877
154	6527	77701
155	6558	77522
156	6589	77355
157	6620	77178
158	6650	77004
159	6678	76802
160	6708	76622
161	6738	76450
162	6772	76326
163	6799	76123
164	6830	75968
165	6860	75791
166	6888	75609
167	6920	75470
168	6950	75305
169	6980	75143
170	7010	74988
171	7043	74852
172	7071	74677
173	7104	74555
174	7146	74532
175	7179	74406
176	7208	74246
177	7243	74147
178	7302	74294
179	7360	74423
180	7431	74681
181	7489	74813
182	7543	74899
183	7595	74962
184	7656	75112
185	7703	75127
186	7761	75252
187	7811	75293
188	7850	75219
189	7883	75097
190	7920	75019
191	7958	74945
192	7991	74823
193	8021	74676
194	8053	74548
195	8083	74397
196	8115	74278
197	8146	74139
198	8176	73999
199	8207	73867
200	8236	73716
201	8268	73600
202	8333	73772
203	8394	73900
204	8429	73812
205	8460	73676
206	8487	73518
207	8519	73402
208	8580	73531
209	8624	73513
210	8657	73404
211	8687	73269
212	8735	73289
213	8791	73371
214	8867	73620
215	8919	73671
216	8983	73811
217	9037	73872
218	9088	73909
219	9148	74023
220	9201	74070
221	9241	74012
222	9273	73893
223	9301	73751
224	9330	73609
225	9365	73517
226	9408	73483
227	9470	73600
228	9501	73484
229	9533	73368
230	9569	73285
231	9598	73149
232	9628	73018
233	9658	72896
234	9688	72763
235	9719	72646
236	9750	72534
237	9780	72405
238	9807	72262
239	9838	72151
240	9866	72013
241	9896	71891
242	9930	71804
243	9959	71675
244	9993	71584
245	10035	71553
246	10095	71651
247	10149	71704
248	10209	71794
249	10262	71839
250	10329	71976
251	10387	72053
252	10455	72195
253	10530	72384
254	10618	72662
255	10659	72614
256	10696	72543
257	10731	72461
258	10770	72400
259	10813	72365
260	10850	72292
261	10887	72221
262	10928	72176
263	10973	72161
264	11055	72379
265	11119	72484
266	11202	72713
267	11246	72684
268	11288	72639
269	11337	72643
270	11394	72698
271	11471	72879
272	11566	73168
273	11630	73260
274	11702	73404
275	11769	73514
276	11852	73725
277	11906	73752
278	11940	73652
279	11980	73596
280	12019	73527
281	12061	73481
282	12102	73426
283	12133	73313
284	12166	73215
285	12202	73129
286	12234	73025
287	12268	72929
288	12298	72811
289	12334	72729
290	12367	72635
291	12398	72520
292	12429	72412
293	12459	72300
294	12489	72183
295	12531	72142
296	12586	72173
297	12633	72157
298	12673	72097
299	12720	72085
300	12777	72121
301	12835	72165
302	12901	72258
303	12965	72331
304	13023	72377
305	13080	72411
306	13122	72368
307	13151	72248
308	13182	72142
309	13214	72038
310	13241	71913
311	13272	71807
312	13306	71716
313	13334	71601
314	13366	71502
315	13400	71412
316	13434	71323
317	13465	71222
318	13497	71125
319	13527	71019
320	13557	70913
321	13589	70817
322	13635	70795
323	13701	70873
324	13748	70859
325	13801	70870
326	13860	70915
327	13900	70858
328	13930	70752
329	13959	70642
330	13989	70537
331	14018	70431
332	14052	70348
333	14091	70287
334	14142	70288
335	14191	70282
336	14224	70192
337	14254	70093
338	14283	69985
339	14317	69901
340	14347	69803
341	14378	69707
342	14409	69611
343	14441	69522
344	14472	69425
345	14505	69342
346	14534	69238
347	14564	69137
348	14595	69046
349	14630	68972
350	14684	68986
351	14737	68996
352	14795	69031
353	14851	69054
354	14909	69087
355	14939	68990
356	14971	68902
357	15013	68858
358	15041	68756
359	15070	68656
360	15101	68562
361	15135	68487
362	15165	68390
363	15194	68292
364	15225	68203
365	15255	68108
366	15285	68013
367	15319	67940
368	15351	67854
369	15383	67770
370	15412	67674
371	15441	67578
372	15473	67493
373	15508	67425
374	15538	67334
375	15569	67246
376	15601	67163
377	15652	67164
378	15712	67202
379	15772	67239
380	15814	67200
381	15855	67156
382	15892	67095
383	15927	67028
384	15962	66961
385	16018	66980
386	16071	66987
387	16135	67037
388	16193	67063
389	16240	67042
390	16272	66964
391	16305	66886
392	16337	66806
393	16368	66721
394	16397	66627
395	16432	66561
396	16470	66505
397	16508	66448
398	16538	66361
399	16569	66278
400	16598	66185
401	16629	66103
402	16660	66022
403	16695	65955
404	16725	65869
405	16754	65780
406	16785	65698
407	16815	65614
408	16845	65529
409	16957	65762
410	17082	66043
411	17141	66071
412	17171	65985
413	17202	65901
414	17232	65815
415	17260	65723
416	17295	65656
417	17327	65579
418	17357	65495
419	17386	65404
420	17417	65325
421	17446	65236
422	17480	65169
423	17513	65096
424	17545	65021
425	17575	64939
426	17606	64858
427	17635	64772
428	17670	64709
429	17699	64622
430	17729	64541
431	17760	64462
432	17791	64385
433	17820	64302
434	17854	64233
435	17884	64154
436	17913	64071
437	17945	63995
438	17974	63912
439	18005	63838
440	18038	63767
441	18069	63694
442	18101	63622
443	18131	63542
444	18163	63470
445	18193	63392
446	18229	63335
447	18260	63258
448	18289	63176
449	18318	63096
450	18349	63024
451	18377	62939
452	18414	62885
453	18444	62807
454	18473	62728
455	18504	62657
456	18536	62586
457	18568	62517
458	18601	62449
459	18632	62377
460	18662	62304
461	18691	62224
462	18721	62148
463	18750	62069
464	18781	61998
465	18818	61946
466	18849	61876
467	18895	61854
468	18938	61824
469	18994	61832
470	19029	61774
471	19058	61698
472	19090	61629
473	19118	61550
474	19148	61476
475	19192	61449
476	19276	61546
477	19322	61524
478	19361	61479
479	19442	61566
480	19498	61574
481	19548	61564
482	19592	61535
483	19624	61467
484	19661	61415
485	19692	61348
486	19721	61271
487	19754	61206
488	19784	61132
489	19814	61062
490	19849	61005
491	19881	60938
492	19912	60869
493	19944	60801
494	19974	60730
495	20007	60666
496	20043	60615
497	20073	60542
498	20102	60467
499	20134	60403
500	20165	60334
501	20194	60261
502	20229	60205
503	20259	60135
504	20289	60065
505	20321	59999
506	20352	59933
507	20382	59863
508	20420	59818
509	20451	59750
510	20482	59682
511	20511	59612
512	20541	59543
513	20571	59474
514	20606	59418
515	20636	59349
516	20664	59274
517	20693	59204
518	20724	59137
519	20778	59139
520	20882	59281
521	21044	59585
522	21100	59589
523	21156	59593
524	21185	59520
525	21217	59457
526	21251	59398
527	21286	59345
528	21320	59285
529	21350	59216
530	21379	59146
531	21411	59082
532	21442	59015
533	21478	58965
534	21510	58902
535	21543	58843
536	21572	58772
537	21603	58708
538	21637	58649
539	21675	58603
540	21705	58536
541	21735	58469
542	21765	58402
543	21796	58337
544	21837	58299
545	21874	58251
546	21907	58191
547	21940	58133
548	21975	58081
549	22009	58025
550	22043	57968
551	22079	57918
552	22112	57859
553	22145	57802
554	22179	57745
555	22214	57694
556	22264	57679
557	22313	57663
558	22345	57601
559	22378	57543
560	22408	57479
561	22439	57416
562	22479	57375
563	22513	57321
564	22548	57268
565	22580	57208
566	22614	57155
567	22649	57101
568	22687	57058
569	22724	57010
570	22755	56949
571	22787	56889
572	22823	56838
573	22864	56802
574	22893	56736
575	22923	56671
576	22955	56613
577	22985	56550
578	23016	56486
579	23051	56437
580	23087	56387
581	23117	56324
582	23146	56259
583	23178	56199
584	23225	56177
585	23274	56161
586	23334	56168
587	23373	56127
588	23408	56077
589	23464	56076
590	23515	56064
591	23565	56047
592	23609	56017
593	23655	55992
594	23684	55927
595	23837	56154
596	23898	56163
597	23930	56104
598	23975	56076
599	24024	56057
600	24084	56062
601	24129	56034
602	24172	56000
603	24216	55971
604	24262	55943
605	24317	55939
606	24356	55896
607	24401	55865
608	24449	55844
609	24491	55809
610	24563	55839
611	24616	55830
612	24666	55811
613	24737	55840
614	24792	55833
615	24828	55783
616	24889	55790
617	24952	55800
618	24985	55744
619	25027	55706
620	25095	55728
621	25143	55703
622	25174	55641
623	25206	55582
624	25237	55521
625	25269	55463
626	25306	55416
627	25333	55347
628	25363	55284
629	25391	55216
630	25421	55152
631	25452	55093
632	25486	55040
633	25517	54978
634	25546	54915
635	25577	54854
636	25608	54795
637	25638	54732
638	25676	54687
639	25703	54619
640	25733	54558
641	25764	54499
642	25795	54438
643	25824	54376
644	25864	54334
645	25894	54274
646	25924	54212
647	25953	54150
648	25985	54093
649	26014	54030
650	26050	53982
651	26094	53950
652	26131	53903
653	26161	53842
654	26189	53778
655	26221	53722
656	26277	53714
657	26315	53669
658	26352	53624
659	26388	53575
660	26427	53535
661	26475	53510
662	26512	53465
663	26550	53420
664	26587	53375
665	26628	53337
666	26679	53318
667	26717	53274
668	26755	53230
669	26795	53191
670	26838	53156
671	26878	53117
672	26915	53071
673	26949	53019
674	26985	52971
675	27021	52924
676	27066	52893
677	27103	52847
678	27140	52801
679	27176	52753
680	27211	52704
681	27254	52670
682	27291	52625
683	27328	52579
684	27367	52537
685	27406	52494
686	27450	52463
687	27485	52414
688	27515	52355
689	27546	52298
690	27576	52239
691	27607	52182
692	27644	52137
693	27673	52077
694	27701	52014
695	27732	51957
696	27764	51904
697	27793	51844
698	27831	51800
699	27859	51739
700	27888	51680
701	27920	51625
702	27948	51564
703	27978	51505
704	28017	51464
705	28047	51407
706	28075	51346
707	28105	51288
708	28135	51232
709	28167	51176
710	28205	51133
711	28236	51079
712	28265	51021
713	28296	50965
714	28328	50911
715	28359	50856
716	28395	50811
717	28426	50756
718	28457	50701
719	28488	50645
720	28520	50593
721	28551	50538
722	28587	50493
723	28617	50436
724	28646	50378
725	28674	50318
726	28703	50259
727	28733	50204
728	28772	50164
729	28802	50107
730	28830	50048
731	28861	49994
732	28891	49938
733	28921	49883
734	28959	49841
735	28988	49785
736	29018	49729
737	29050	49676
738	29083	49626
739	29111	49568
740	29150	49528
741	29179	49471
742	29210	49418
743	29240	49363
744	29270	49307
745	29301	49254
746	29339	49212
747	29373	49165
748	29402	49109
749	29431	49053
750	29462	49000
751	29494	48948
752	29530	48904
753	29562	48853
754	29591	48797
755	29621	48742
756	29651	48688
757	29680	48631
758	29717	48589
759	29749	48539
760	29779	48484
761	29812	48434
762	29842	48381
763	29873	48330
764	29914	48293
765	29941	48235
766	29969	48178
767	29999	48124
768	30028	48069
769	30059	48017
770	30096	47975
771	30126	47922
772	30158	47871
773	30190	47820
774	30220	47768
775	30251	47715
776	30288	47674
777	30317	47618
778	30346	47565
779	30377	47513
780	30406	47459
781	30434	47403
782	30472	47363
783	30500	47306
784	30531	47256
785	30562	47204
786	30593	47153
787	30623	47101
788	30659	47058
789	30691	47008
790	30721	46955
791	30752	46904
792	30780	46850
793	30811	46799
794	30848	46757
795	30877	46703
796	30905	46649
797	30933	46594
798	30963	46542
799	30992	46488
800	31021	46435
801	31073	46416
802	31118	46387
803	31161	46354
804	31198	46313
805	31241	46280
806	31274	46233
807	31304	46182
808	31339	46138
809	31370	46087
810	31401	46038
811	31439	45997
812	31470	45947
813	31500	45896
814	31529	45844
815	31561	45795
816	31591	45744
817	31627	45701
818	31657	45650
819	31687	45599
820	31714	45543
821	31745	45493
822	31775	45442
823	31814	45405
824	31844	45354
825	31877	45307
826	31907	45256
827	31937	45205
828	31970	45160
829	32006	45117
830	32036	45066
831	32067	45017
832	32096	44966
833	32126	44915
834	32157	44865
835	32195	44826
836	32224	44775
837	32256	44727
838	32286	44677
839	32315	44625
840	32345	44576
841	32385	44539
842	32417	44492
843	32449	44445
844	32478	44394
845	32509	44344
846	32544	44301
847	32580	44260
848	32642	44254
849	32729	44280
850	32812	44302
851	32841	44251
852	32871	44201
853	32902	44152
854	32932	44103
855	32970	44063
856	32999	44012
857	33029	43961
858	33058	43911
859	33092	43866
860	33120	43814
861	33158	43775
862	33189	43727
863	33219	43677
864	33247	43625
865	33278	43577
866	33310	43530
867	33348	43491
868	33378	43442
869	33408	43392
870	33438	43343
871	33468	43294
872	33498	43245
873	33538	43209
874	33571	43162
875	33601	43114
876	33631	43065
877	33663	43018
878	33692	42968
879	33730	42930
880	33760	42881
881	33789	42830
882	33816	42777
883	33847	42730
884	33879	42684
885	33920	42649
886	33950	42601
887	33980	42551
888	34011	42504
889	34040	42454
890	34071	42407
891	34107	42366
892	34137	42318
893	34167	42269
894	34198	42222
895	34228	42173
896	34257	42124
897	34296	42088
898	34330	42043
899	34359	41995
900	34389	41947
901	34420	41900
902	34451	41853
903	34487	41812
904	34520	41767
905	34549	41719
906	34580	41672
907	34611	41625
908	34642	41578
909	34678	41537
910	34710	41492
911	34740	41444
912	34770	41396
913	34803	41352
914	34837	41309
915	34874	41271
916	34905	41224
917	34935	41176
918	34964	41128
919	34995	41081
920	35026	41035
921	35064	40997
922	35095	40951
923	35125	40903
924	35155	40856
925	35183	40806
926	35213	40760
927	35254	40724
928	35286	40679
929	35317	40634
930	35347	40587
931	35378	40540
932	35408	40493
933	35442	40451
934	35473	40405
935	35503	40358
936	35533	40311
937	35562	40263
938	35591	40215
939	35628	40176
940	35659	40130
941	35688	40083
942	35720	40038
943	35751	39992
944	35781	39946
945	35817	39906
946	35848	39861
947	35881	39818
948	35911	39771
949	35941	39725
950	35972	39679
951	36007	39638
952	36038	39593
953	36067	39545
954	36098	39500
955	36127	39453
956	36157	39407
957	36193	39366
958	36227	39325
959	36259	39281
960	36290	39235
961	36320	39189
962	36346	39139
963	36382	39100
964	36415	39057
965	36446	39012
966	36477	38967
967	36509	38923
968	36541	38879
969	36581	38844
970	36613	38800
971	36643	38755
972	36673	38708
973	36705	38664
974	36734	38618
975	36769	38577
976	36802	38535
977	36831	38488
978	36859	38441
979	36892	38398
980	36922	38352
981	36965	38320
982	37014	38294
983	37057	38263
984	37096	38226
985	37138	38193
986	37177	38156
987	37206	38110
988	37237	38066
989	37266	38019
990	37297	37974
991	37324	37926
992	37359	37885
993	37392	37843
994	37422	37798
995	37454	37755
996	37484	37710
