iter	Passed	Remaining
0	47	95861
1	77	77763
2	110	73572
3	140	70123
4	170	67846
5	199	66272
6	229	65238
7	260	64782
8	291	64536
9	319	63674
10	349	63279
11	384	63715
12	418	64038
13	446	63341
14	474	62769
15	503	62416
16	540	63067
17	575	63418
18	612	63830
19	648	64246
20	682	64342
21	713	64105
22	745	64051
23	778	64076
24	813	64251
25	847	64328
26	878	64220
27	909	64089
28	943	64095
29	978	64268
30	1008	64061
31	1044	64238
32	1071	63885
33	1106	63995
34	1141	64098
35	1173	64031
36	1208	64128
37	1247	64396
38	1281	64429
39	1321	64770
40	1361	65049
41	1480	69038
42	1599	72788
43	1708	75958
44	1816	78896
45	2005	85193
46	2124	88270
47	2204	89664
48	2252	89704
49	2297	89591
50	2337	89337
51	2391	89580
52	2461	90422
53	2528	91104
54	2572	90975
55	2615	90787
56	2646	90219
57	2679	89719
58	2714	89302
59	2746	88807
60	2777	88274
61	2803	87632
62	2831	87072
63	2862	86601
64	2892	86118
65	2919	85551
66	2951	85159
67	2978	84610
68	3006	84142
69	3032	83620
70	3058	83084
71	3087	82666
72	3114	82226
73	3139	81715
74	3168	81326
75	3198	80973
76	3223	80507
77	3249	80077
78	3276	79664
79	3306	79346
80	3333	78968
81	3359	78570
82	3386	78208
83	3413	77871
84	3442	77564
85	3468	77202
86	3496	76885
87	3523	76560
88	3549	76217
89	3581	76002
90	3608	75694
91	3634	75370
92	3662	75104
93	3693	74893
94	3719	74594
95	3746	74303
96	3772	74019
97	3801	73775
98	3827	73487
99	3853	73220
100	3880	72965
101	3910	72757
102	3937	72526
103	3965	72292
104	3992	72047
105	4019	71827
106	4045	71575
107	4073	71353
108	4103	71195
109	4130	70961
110	4155	70718
111	4183	70521
112	4213	70369
113	4240	70160
114	4266	69932
115	4295	69759
116	4321	69557
117	4347	69345
118	4376	69181
119	4404	68998
120	4433	68846
121	4458	68638
122	4486	68471
123	4518	68353
124	4543	68156
125	4571	67987
126	4598	67814
127	4625	67644
128	4654	67502
129	4686	67406
130	4711	67225
131	4738	67054
132	4766	66906
133	4792	66736
134	4818	66566
135	4847	66439
136	4875	66302
137	4902	66142
138	4930	66005
139	4956	65847
140	4981	65679
141	5006	65513
142	5035	65393
143	5065	65286
144	5090	65120
145	5117	64990
146	5143	64832
147	5169	64691
148	5199	64587
149	5225	64453
150	5252	64320
151	5279	64189
152	5303	64026
153	5330	63901
154	5356	63757
155	5386	63665
156	5413	63548
157	5438	63406
158	5467	63305
159	5493	63175
160	5521	63072
161	5545	62922
162	5574	62829
163	5605	62750
164	5630	62618
165	5663	62576
166	5699	62562
167	5727	62458
168	5754	62348
169	5786	62285
170	5817	62222
171	5842	62090
172	5867	61966
173	5894	61853
174	5922	61765
175	5950	61672
176	5978	61572
177	6006	61478
178	6032	61374
179	6059	61268
180	6088	61185
181	6113	61065
182	6140	60973
183	6165	60847
184	6188	60718
185	6215	60618
186	6242	60522
187	6267	60404
188	6293	60306
189	6321	60222
190	6350	60150
191	6374	60026
192	6400	59925
193	6427	59836
194	6453	59737
195	6479	59636
196	6506	59549
197	6533	59463
198	6561	59385
199	6591	59320
200	6618	59241
201	6648	59174
202	6676	59106
203	6701	58996
204	6728	58919
205	6753	58814
206	6778	58712
207	6806	58638
208	6835	58579
209	6861	58484
210	6887	58399
211	6916	58333
212	6942	58247
213	6970	58173
214	6996	58090
215	7021	57989
216	7046	57900
217	7076	57844
218	7104	57778
219	7133	57719
220	7159	57634
221	7186	57555
222	7212	57472
223	7238	57389
224	7262	57292
225	7288	57208
226	7315	57138
227	7341	57054
228	7369	56990
229	7393	56895
230	7416	56799
231	7444	56733
232	7472	56672
233	7501	56617
234	7529	56551
235	7561	56519
236	7588	56449
237	7616	56390
238	7644	56323
239	7672	56262
240	7698	56190
241	7724	56117
242	7750	56040
243	7777	55975
244	7805	55916
245	7830	55833
246	7861	55793
247	7899	55806
248	7933	55785
249	7969	55787
250	8004	55774
251	8039	55763
252	8076	55767
253	8108	55736
254	8144	55736
255	8183	55747
256	8218	55738
257	8253	55726
258	8290	55731
259	8323	55700
260	8359	55700
261	8387	55639
262	8412	55559
263	8439	55497
264	8465	55422
265	8492	55362
266	8520	55301
267	8550	55256
268	8575	55180
269	8602	55116
270	8631	55069
271	8660	55017
272	8686	54952
273	8715	54900
274	8740	54827
275	8769	54776
276	8794	54702
277	8817	54620
278	8845	54561
279	8873	54509
280	8901	54451
281	8925	54377
282	8955	54332
