,y_pred_exp,y_test_exp
0,332745.0,248000.0
1,448174.0,489000.0
2,25693.0,19900.0
3,312566.0,339500.0
4,86723.0,80000.0
5,455617.0,347000.0
6,603374.0,774950.0
7,325114.0,260000.0
8,275853.0,389000.0
9,522632.0,465500.0
10,327407.0,239000.0
11,543659.0,374900.0
12,783805.0,1575000.0
13,274611.0,249900.0
14,401160.0,289000.0
15,176432.0,155225.0
16,331161.0,119000.0
17,751807.0,625000.0
18,185298.0,249900.0
19,579813.0,429950.0
20,170143.0,174750.0
21,300985.0,329500.0
22,254156.0,277990.0
23,478397.0,599900.0
24,2074299.0,1865000.0
25,452123.0,455000.0
26,339248.0,249500.0
27,261261.0,488000.0
28,563124.0,734900.0
29,500464.0,617000.0
30,400785.0,349000.0
31,353820.0,339900.0
32,296180.0,300000.0
33,179769.0,800000.0
34,241027.0,199900.0
35,62959.0,119900.0
36,421140.0,440000.0
37,381263.0,279000.0
38,631551.0,2254950.0
39,229042.0,203500.0
40,367006.0,264900.0
41,446470.0,446390.0
42,246595.0,274900.0
43,950569.0,585000.0
44,169383.0,1100000.0
45,187043.0,289900.0
46,111590.0,72000.0
47,308421.0,185000.0
48,157006.0,474320.0
49,136581.0,105900.0
50,682211.0,239000.0
51,495989.0,649000.0
52,253241.0,155000.0
53,655870.0,450000.0
54,215847.0,205000.0
55,673860.0,745000.0
56,126011.0,129500.0
57,442231.0,544900.0
58,113028.0,129900.0
59,219814.0,175400.0
60,231532.0,284500.0
61,199356.0,171900.0
62,503564.0,579900.0
63,134050.0,120000.0
64,42311.0,400000.0
65,404610.0,288995.0
66,308608.0,534900.0
67,85002.0,65000.0
68,409230.0,649000.0
69,97536.0,95000.0
70,127707.0,100000.0
71,292695.0,299500.0
72,165503.0,145000.0
73,199019.0,139000.0
74,58050.0,27500.0
75,800125.0,634900.0
76,750051.0,637500.0
77,690720.0,559000.0
78,411050.0,350000.0
79,447587.0,499900.0
80,1213657.0,1275000.0
81,206443.0,179900.0
82,261338.0,295000.0
83,257088.0,475000.0
84,220878.0,219900.0
85,53262.0,150000.0
86,184808.0,235000.0
87,93078.0,79900.0
88,68628.0,49900.0
89,88474.0,48440.0
90,506503.0,579000.0
91,251447.0,180000.0
92,360928.0,469900.0
93,304740.0,349900.0
94,669869.0,699990.0
95,416334.0,285000.0
96,33467.0,54900.0
97,704063.0,414900.0
98,214266.0,147500.0
99,354381.0,410000.0
100,1383183.0,299900.0
101,144819.0,449900.0
102,2971532.0,2895000.0
103,679035.0,372500.0
104,606150.0,679000.0
105,843805.0,449500.0
106,290759.0,210000.0
107,626280.0,679000.0
108,323487.0,275000.0
109,265633.0,299000.0
110,570236.0,669000.0
111,242015.0,789000.0
112,219630.0,212900.0
113,192546.0,219900.0
114,1523155.0,1490000.0
115,273513.0,287800.0
116,446873.0,295000.0
117,425900.0,298000.0
118,1837676.0,1975000.0
119,995520.0,895000.0
120,187808.0,39000.0
121,717058.0,1100000.0
122,8603215.0,5750000.0
123,211023.0,229000.0
124,979482.0,1190000.0
125,337558.0,409900.0
126,303482.0,409990.0
127,648726.0,689000.0
128,120834.0,80000.0
129,1257760.0,1150000.0
130,353518.0,240000.0
131,27214.0,66950.0
132,38188.0,39000.0
133,238461.0,289900.0
134,44760.0,42000.0
135,730251.0,1385000.0
136,228764.0,150800.0
137,876620.0,757705.0
138,5854654.0,5000000.0
